track_name,artist(s)_name,release_date,in_spotify_playlists,duration_s,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023-07-14,553,183.55,141381703,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,2023-03-23,1474,197.92,133716286,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,2023-06-30,1397,219.724,140003974,138,F,Major,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,2019-08-23,7858,178.426,800840817,170,A,Major,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,2023-05-18,3133,231.704,303236322,144,A,Minor,65,23,80,14,63,11,6
Sprinter,"Dave, Central Cee",2023-06-01,2186,229.133,183706234,141,C#,Major,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023-03-16,3090,165.671,725980112,148,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,2023-07-07,714,186.0,58149378,100,F,Major,67,26,71,37,0,11,4
fukumean,Gunna,2023-05-15,1096,125.04,95217315,130,C#,Minor,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023-03-17,2953,234.352,553634067,170,D,Minor,81,56,48,21,0,8,33
un x100to,"Bad Bunny, Grupo Frontera",2023-04-17,2876,194.563,505671438,83,F#,Minor,57,56,72,23,0,27,5
Super Shy,NewJeans,2023-07-07,422,154.666,58255150,150,F,Minor,78,52,82,18,0,15,7
Flowers,Miley Cyrus,2023-01-12,12211,200.6,1316855716,118,A,Major,71,65,68,6,0,3,7
Daylight,David Kushner,2023-04-14,3528,212.953,387570742,130,D,Minor,51,32,43,83,0,9,3
As It Was,Harry Styles,2022-03-31,23575,167.303,2513188493,174,F#,Minor,52,66,73,34,0,31,6
Kill Bill,SZA,2022-12-08,8109,153.946,1163093654,89,G#,Major,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,2023-02-24,2942,188.1575,496795686,120,B,Minor,78,76,59,43,0,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,873,222.369,30546883,78,B,Major,44,14,9,96,0,10,3
Classy 101,"Feid, Young Miko",2023-03-31,2610,195.986,335222234,100,B,Major,86,67,66,14,0,12,16
Like Crazy,Jimin,2023-03-24,596,212.241,363369738,120,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023-06-22,332,212.878,86444842,140,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylors Version) (From The ,Taylor Swift,2023-07-07,516,273.186,52135248,123,F#,Major,69,82,76,6,0,6,3
I Wanna Be Yours,Arctic Monkeys,2013-01-01,12859,183.956,1297026226,135,A,Minor,48,44,42,12,2,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023-05-31,1313,188.361,200647221,133,F,Minor,85,81,67,26,0,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023-06-02,1945,215.466,115364561,99,C#,Major,85,83,68,7,0,36,20
SABOR FRESA,Fuerza Regida,2023-06-22,250,156.5,78300654,130,G,Minor,79,96,86,9,0,9,9
MOJABI GHOST,"Tainy, Bad Bunny",2023-06-29,859,232.131,61245289,122,F#,Minor,81,74,71,14,0,56,4
Last Night,Morgan Wallen,2023-01-31,2420,163.854,429829812,204,F#,Major,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,2988,176.579,127408954,110,B,Minor,67,78,85,2,0,33,5
Rush,Troye Sivan,2023-07-13,864,156.391,22581161,126,F,Minor,74,35,84,0,0,11,6
